,id,dp_fluid,hr_fluid_kw,dp_air,hr_air_kw
132,132,45.91794,6.27599,722.45996,6.1173
133,133,45.90019,6.27296,716.26752,6.13174
134,134,45.82479,6.2786,727.78455,6.10781
135,135,45.86381,6.32278,724.71143,6.10337
136,136,45.63207,6.28138,722.20032,6.06373
137,137,45.79931,6.30831,719.53265,6.06544
138,138,45.75669,6.30586,708.54559,6.05625
139,139,45.7737,6.27572,713.4718,6.07726
140,140,45.89798,6.23951,733.73871,6.11125
141,141,45.83311,6.27049,719.21613,6.07934
142,142,45.80713,6.2532,717.69733,6.05066
143,143,45.74022,6.25995,715.16132,6.04961
144,144,45.82148,6.26661,716.66943,6.059
145,145,45.82082,6.25149,724.8075,6.10229
146,146,45.78414,6.28182,715.8656,6.12936
147,147,45.82139,6.25503,714.97284,6.10214
148,148,45.83061,6.25198,708.17212,6.0903
149,149,45.92589,6.25055,724.37708,6.10614
150,150,45.81902,6.2657,720.85229,6.10585
151,151,45.81656,6.25677,716.01495,6.09924
152,152,46.00039,6.27509,722.75873,6.09673
153,153,45.82111,6.2371,717.57642,6.07293
154,154,45.70698,6.28764,718.67194,6.0944
155,155,45.90901,6.29208,720.95544,6.05552
156,156,45.88458,6.25796,726.30847,6.05535
157,157,45.87905,6.25693,729.54877,6.05567
158,158,45.80185,6.27477,721.57428,6.08902
159,159,45.89573,6.28934,721.37866,6.06729
160,160,45.91249,6.2902,716.95044,6.04356
161,161,45.83709,6.29532,725.06354,6.03202
162,162,45.9549,6.27342,719.69983,6.0241
163,163,45.9013,6.28846,723.88983,6.02368
164,164,45.87491,6.29215,720.29028,6.02779
165,165,45.71202,6.26754,732.07056,6.0305
166,166,45.81902,6.29623,727.46442,6.04757
167,167,45.85963,6.29759,727.15857,6.04495
168,168,45.95072,6.27615,725.45123,6.05224
169,169,45.7689,6.26627,727.70276,6.05444
170,170,45.8972,6.26129,715.23602,6.00425
171,171,45.89069,6.2826,721.00519,6.02497
172,172,45.87897,6.26571,720.18713,6.03331
173,173,45.84741,6.27307,713.9129,6.06019
174,174,45.97457,6.26722,719.04181,6.02404
175,175,45.94232,6.25225,726.53967,6.05912
176,176,45.85319,6.28235,718.02814,6.00574
177,177,46.0028,6.28927,716.39197,5.99089
178,178,45.92843,6.2849,714.91943,6.02632
179,179,45.69018,6.24964,721.43561,6.06051
180,180,45.89802,6.26483,721.33246,6.06322
181,181,45.82406,6.27934,737.74371,6.05312
182,182,45.91212,6.30014,718.5332,6.043
183,183,45.95679,6.28697,713.8595,6.0187
184,184,45.85332,6.27522,720.19781,6.00359
185,185,45.86028,6.29056,716.32794,5.97752
186,186,45.79992,6.26388,719.14142,6.01236
187,187,45.87618,6.25141,708.1828,5.99697
188,188,45.92007,6.25545,718.93872,5.96146
189,189,45.91618,6.25547,722.52753,5.99426
190,190,45.85823,6.2406,718.18817,5.96021
191,191,45.97838,6.268,715.34631,5.95314
192,192,45.80771,6.26462,715.453,5.95334
193,193,45.82447,6.2355,709.36725,5.95292
194,194,45.97588,6.25491,725.14893,5.95631
195,195,45.92142,6.23599,723.83649,5.98485
196,196,45.93585,6.283,722.79431,5.98466
197,197,45.80394,6.25104,711.68628,5.87133
198,198,45.73755,6.24613,709.43127,6.37762
199,199,45.84578,6.21582,709.93988,6.37889
200,200,45.902,6.21719,711.13501,6.31385
201,201,45.91667,6.20527,716.29596,6.3851
202,202,45.8979,6.22825,711.94592,6.4713
203,203,45.83078,6.21247,725.4726,6.76211
204,204,45.87323,6.24652,711.4231,6.72394
205,205,45.77595,6.24822,713.08057,6.71626
206,206,45.83738,6.23165,715.10797,6.71093
207,207,45.93482,6.24886,721.19373,6.66161
208,208,45.85692,6.25243,721.72723,6.59921
209,209,45.83537,6.23901,719.04541,6.61621
210,210,45.88778,6.24141,716.45245,6.59371
211,211,45.91839,6.24706,719.14142,6.59081
